Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Description,Organization Industries,Organization Website,Lead Investors,Investor Names
Seed Round - besimple AI,https://www.crunchbase.com/funding_round/besimple-ai-seed--30f419aa,besimple AI,https://www.crunchbase.com/organization/besimple-ai,Seed,3000000,USD,3000000,2025-11-26,besimple AI is a software company that provides AI-based data annotation infrastructure designed for model training.,"Artificial Intelligence (AI), Data Management, Software",https://besimple.ai/,,"Amino Capital, Multimodal Ventures, Porterfield Ventures, Script Capital, SurgePoint Capital, Welight Capital, Y Combinator"
Series A - Gaia,https://www.crunchbase.com/funding_round/gaianet-a179-series-a--0eb49d4a,Gaia,https://www.crunchbase.com/organization/gaianet-a179,Series A,10000000,USD,10000000,2025-07-22,Decentralizing AI Inferencing. Building a distributed and incentivized GenAI Agent Network.,"Artificial Intelligence (AI), Blockchain, Information Technology, Internet",https://www.gaianet.ai,"ByteTrade Lab, Mantle Network, Mirana, Susquehanna","Alex Oak, Amber Group, BitGo, ByteTrade Lab, chain yoda, Ciarra Pardo, Cogitent Ventures, ConsenSys Mesh, Defi Brian, EVM Capital, FACTBLOCK, Francesco Andreoli, G-20 Group, Lex Sokolin, Mantle Network, Mario Nawfal, Marwan Alzarouni, Mirana, MoonPay, NGC Ventures, Outlier Ventures, Paper Ventures, Presto Ventures, Republic Crypto, Scott Moore, Scott Parazynski, Selini Capital, Stake Capital Group, Susquehanna, Taisu Ventures, Tony Gu, Vanessa Grellet, William Luedtke"
Seed Round - Navikenz,https://www.crunchbase.com/funding_round/navikenz-seed--30c88530,Navikenz,https://www.crunchbase.com/organization/navikenz,Seed,4000000,USD,4000000,2025-08-26,"Navikenz leverages AI technology to help enterprises speed up their transition to data-centric, organizations in the new digital future.","Artificial Intelligence (AI), Information Technology, Machine Learning",https://www.navikenz.com,,
Series B - knownwell,https://www.crunchbase.com/funding_round/knownwell-series-b--3c19cfbd,knownwell,https://www.crunchbase.com/organization/knownwell,Series B,26073821,USD,26073821,2025-10-20,Knownwell is a plug-and-play platform designed to consolidate data from various sources.,"Artificial Intelligence (AI), Health Care, Medical, Primary and Urgent Care",https://www.knownwell.co,CVS Health Ventures,"Andreessen Horowitz, CVS Health Ventures, Flare Capital Partners, Geoff Price, Intermountain Ventures, MassMutual Catalyst Fund"
Series A - Raylu,https://www.crunchbase.com/funding_round/raylu-series-a--e8ae6a64,Raylu,https://www.crunchbase.com/organization/raylu,Series A,8000000,USD,8000000,2025-12-02,"Raylu is the AI Platform for Private Market Investors. More companies, smarter diligence, bigger wins.","Artificial Intelligence (AI), Information Technology, Machine Learning",https://www.raylu.ai,HighlandX,HighlandX
Seed Round - OPTIMUSE,https://www.crunchbase.com/funding_round/optimuse-seed--c6577451,OPTIMUSE,https://www.crunchbase.com/organization/optimuse,Seed,4000000,EUR,4697388,2025-10-01,Optimuse provides an AI-based solution that supports the pre-design phase of building renovation.,"Artificial Intelligence (AI), Construction, Real Estate, Software",https://www.optimuse.com/,"Blum Ventures, seed + speed Ventures","aws Gründungsfonds, Blum Ventures, Matterwave Ventures, seed + speed Ventures"
Series B - Netic,https://www.crunchbase.com/funding_round/netic-b1e2-series-b--bcd9b1ca,Netic,https://www.crunchbase.com/organization/netic-b1e2,Series B,23000000,USD,23000000,2025-11-13,"Netic offers an AI-driven platform designed to enhance revenue generation, customer engagement, and growth through intelligent automation.","Artificial Intelligence (AI), Business Process Automation (BPA), Marketing Automation, Service Industry",https://www.netic.ai,Founders Fund,"Day One Ventures, Dylan Field, Founders Fund, Greylock, Hanabi Capital, SV Angel"
Seed Round - Altitude,https://www.crunchbase.com/funding_round/altitude-3d34-seed--c432310f,Altitude,https://www.crunchbase.com/organization/altitude-3d34,Seed,6900000,USD,6900000,2025-10-14,Altitude is the AI-powered platform for the clinical workforce.,"Artificial Intelligence (AI), Health Care, Hospital",https://www.joinaltitude.com/,Lerer Hippeau,"AlleyCorp, Chrysalis Ventures, Lerer Hippeau, sequel, Tau Ventures"
Seed Round - mimic,https://www.crunchbase.com/funding_round/mimic-robotics-seed--83d31b37,mimic,https://www.crunchbase.com/organization/mimic-robotics,Seed,16000000,USD,16000000,2025-11-03,Mimic specializes in AI and robotic solutions that focuses on automating tedious tasks in various industries.,"Artificial Intelligence (AI), Hardware, Robotic Process Automation (RPA), Robotics, Software",https://www.mimicrobotics.com,"Elaia, Speedinvest","10x Founders, 1st Kind, 2100 Ventures, another.vc, Elaia, Founderful, Sequoia Scout, Speedinvest"
Seed Round - Onepot AI,https://www.crunchbase.com/funding_round/onepot-ai-seed--ec305b00,Onepot AI,https://www.crunchbase.com/organization/onepot-ai,Seed,13000000,USD,13000000,2025-11-19,"Onepot AI offers automated synthesis of small molecules from basic building blocks using a unified, end-to-end process.","Artificial Intelligence (AI), Chemical, Chemical Engineering",https://onepot.pro,Fifty Years,"Agata Zaremba, Fifty Years, Grupo Navec Servicios Industriales, Jeff Dean, Khosla Ventures, Script Capital, Speedinvest, Wojciech Zaremba"
Series A - Creator's X,https://www.crunchbase.com/funding_round/creator-s-x-series-a--e16fed3a,Creator's X,https://www.crunchbase.com/organization/creator-s-x,Series A,1900000000,JPY,12171880,2025-11-27,Creator's X is an anime production firm that focuses on developing animation production assistance tools using AI.,"Animation, Artificial Intelligence (AI), Digital Entertainment",https://creatorsx.jp,,"Global Brain Corporation, Hakuhodo DY Ventures"
Seed Round - Stareep Smart Sleep,https://www.crunchbase.com/funding_round/stareep-smart-sleep-seed--91708d11,Stareep Smart Sleep,https://www.crunchbase.com/organization/stareep-smart-sleep,Seed,100000000,CNY,14298174,2026-01-04,Stareep Smart Sleep develops AI‑driven smart beds with an intelligence system to monitor and adjust sleep throughout the full sleep cycle.,"Artificial Intelligence (AI), Furniture, Sensor",https://stareep.net,,
Seed Round - Luminal,https://www.crunchbase.com/funding_round/luminal-47ab-seed--913ef3e5,Luminal,https://www.crunchbase.com/organization/luminal-47ab,Seed,5300000,USD,5300000,2025-11-17,Luminal provides a machine learning compiler and serverless cloud platform that automates PyTorch model optimization and deployment.,"Artificial Intelligence (AI), Developer Platform, Developer Tools, Information Technology, Machine Learning, SaaS, Software",https://luminal.com,Felicis,"Ben Porterfield, Felicis, Guillermo Rauch, Kaz Nejatian, Liquid 2 Ventures, Palm Drive Capital, Paul Graham, Saga Ventures, Y Combinator"
Seed Round - SubImage,https://www.crunchbase.com/funding_round/subimage-7fba-seed--55a65087,SubImage,https://www.crunchbase.com/organization/subimage-7fba,Seed,4200000,USD,4200000,2025-10-20,"SubImage provides cloud mapping for security teams, offering visibility and risk reduction through Cartography's open-source tech.","Artificial Intelligence (AI), Open Source, Security",https://subimage.io/,"FundersClub, Phosphor Capital, Transpose Platform Management, Y Combinator","FundersClub, Phosphor Capital, Transpose Platform Management, Y Combinator"
Seed Round - Kimitona,https://www.crunchbase.com/funding_round/kimitona-seed--f5030012,Kimitona,https://www.crunchbase.com/organization/kimitona,Seed,72000000,CNY,10169492,2025-11-26,"Kimitona is the developer and operator of the AI ​​fortune-telling service ""Uratch,"".","Artificial Intelligence (AI), Digital Entertainment",https://kimitona.com/,"Animal Spirits Ltd., iFund","Animal Spirits Ltd., iFund"
Angel Round - SanShiYun Technology,https://www.crunchbase.com/funding_round/sanshiyun-technology-angel--d1597671,SanShiYun Technology,https://www.crunchbase.com/organization/sanshiyun-technology,Angel,10000000,USD,10000000,2025-12-08,"SanShiYun provides secure global connectivity, cloud lines and acceleration services enabling enterprises to link branches and applications.","Artificial Intelligence (AI), Cloud Computing, Technical Support",https://www.sanshiyun.cn/,,
Seed Round - SuperMe,https://www.crunchbase.com/funding_round/superme-seed--820d2494,SuperMe,https://www.crunchbase.com/organization/superme,Seed,6800000,USD,6800000,2025-11-11,SuperMe is on a mission to index collective human knowledge and build the most useful network on the planet.,"Artificial Intelligence (AI), Information Technology, Professional Networking",https://superme.ai/,Greylock,Greylock
Seed Round - AI-Stroke,https://www.crunchbase.com/funding_round/ai-stroke-seed--8978472f,AI-Stroke,https://www.crunchbase.com/organization/ai-stroke,Seed,4600000,USD,4600000,2025-11-18,AI-Stroke turns any smartphone into an “AI neurologist” before the CT Scan.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device",https://www.ai-stroke.com/,Newfund,"Bpifrance, Newfund"
Seed Round - howie,https://www.crunchbase.com/funding_round/howie-f307-seed--3abb23c6,howie,https://www.crunchbase.com/organization/howie-f307,Seed,6000000,USD,6000000,2025-09-22,howie is a new AI-powered assistant acts like a virtual executive assistant for busy professionals.,Artificial Intelligence (AI),https://howie.com,"Andreessen Horowitz, Sequoia Capital, True Ventures","Aaron White, Al Almiya Al Hura, Alex Cohen, Andreessen Horowitz, Aravind Srinivas, Bobby Goodlatte, CiCi Bellis, Colin Gardiner, David J. Phillips, Devon Thome, Diego Oppenheimer, Ford Johnstone, Gabriel Otte, Gaby Goldberg, Gardiner Group Capital, Jason Calacanis, Jordi Hays, Joshua Steinman, Julian Weisser, Kahlil Lalji, Lindel Eakman, Matt Hayes, Merci Grace, Nate DaPore, Nick Davidov, Nitesh Banta, PJC, Raanan Bar-Cohen, Rahul Vohra, Resolute Ventures, Roger Dickey, Roo Capital, Ryan Bednar, Sarah Smith, Sequoia Capital, Sheel Mohnot, Sophia Amoruso, Stu Smith, True Ventures, Turner Novak"
Series B - GramEye,https://www.crunchbase.com/funding_round/grameye-series-b--d73f6733,GramEye,https://www.crunchbase.com/organization/grameye,Series B,570000000,JPY,3644851,2025-11-21,GramEye is a healthtech firm that develops medical devices that automates gram stain with deep learning and robotics.,"Artificial Intelligence (AI), Machine Learning, Medical, Nursing and Residential Care",https://grameye.com/,Beyond Next Ventures,"Beyond Next Ventures, NES Venture Capital, Samurai Incubate"
Series A - Swarmer,https://www.crunchbase.com/funding_round/swarmer-series-a--a48a9dda,Swarmer,https://www.crunchbase.com/organization/swarmer,Series A,15000000,USD,15000000,2025-09-16,Swarmer - Autonomy OS for coordinated drones,"Artificial Intelligence (AI), Autonomous Vehicles, Drone Management, Software",https://getswarmer.com/,Broadband Capital Investments,"Broadband Capital Investments, D3 Ventures, Green Flag Ventures, Network.VC, R-G AI, Radius Capital"
Pre Seed Round - Forgis,https://www.crunchbase.com/funding_round/forgis-a320-pre-seed--beffd947,Forgis,https://www.crunchbase.com/organization/forgis-a320,Pre-Seed,4500000,USD,4500000,2025-11-13,Forgis is spearheading the next industrial revolution and increasing the competitiveness of Western manufacturing.,"Artificial Intelligence (AI), Industrial, Manufacturing",https://www.forgis.com,redalpine,"David Shapira, Founderful Campus, Gebert Rüf Stiftung, Massimo Banzi, redalpine, S2S Ventures, Talent Kick, Tine Petric, Venture Kick"
Seed Round - FormX,https://www.crunchbase.com/funding_round/formx-8723-seed--790a062a,FormX,https://www.crunchbase.com/organization/formx-8723,Seed,130000000,CNY,18227323,2025-09-24,FormX is a technology company that provides cutting-edge AI software and services for automated document data extraction.,"Artificial Intelligence (AI), Machine Learning, SaaS",https://formx.co.jp,Genesia Ventures,"Chiba Dojo, Genesia Ventures"
Seed Round - Bindwell,https://www.crunchbase.com/funding_round/bindwell-seed--17d4cfa9,Bindwell,https://www.crunchbase.com/organization/bindwell,Seed,6000000,USD,6000000,2025-11-13,Bindwell is a Biotech company that uses AI to develops safer pesticides.,"Agriculture, AgTech, Artificial Intelligence (AI)",https://bindwell.ai/,"A.Capital Ventures, General Catalyst","A.Capital Ventures, General Catalyst, Paul Graham, SV Angel"
Seed Round - Dialog,https://www.crunchbase.com/funding_round/dialog-8b2f-seed--f3a668c8,Dialog,https://www.crunchbase.com/organization/dialog-8b2f,Seed,3700000,EUR,4308001,2025-11-14,"Dialog is a startup transforming e-commerce with a brand agent that can represent a company, guide customers, and interact with AI agents.","Artificial Intelligence (AI), Shopping",https://www.askdialog.com/,Galion.exe,"Clem Delangue, Galion.exe, Gary Anssens, Gilles Samoun, Hexa, Kima Ventures, Michael Benabou, Nathalie Balla, Remi Aubert, Romain Niccoli, Weaving Group"
Series A - Peec AI,https://www.crunchbase.com/funding_round/peec-ai-series-a--3fadb892,Peec AI,https://www.crunchbase.com/organization/peec-ai,Series A,21000000,USD,21000000,2025-11-18,Peec AI provides tools for marketing teams to analyze brand performance across various AI platforms.,"Analytics, Artificial Intelligence (AI), Marketing, Software",https://peec.ai,Singular,"Antler, Combination VC, identity.vc, S20 Fund, Singular"
Seed Round - Data²,https://www.crunchbase.com/funding_round/data²-seed--f8efef67,Data²,https://www.crunchbase.com/organization/data²,Seed,4999999,USD,4999999,2025-09-25,"Data² is a software development company that offers big data, machine learning, and artificial intelligence services.","Artificial Intelligence (AI), Business Intelligence, Information Technology, Machine Learning",https://data2.ai,,
Seed Round - Orion,https://www.crunchbase.com/funding_round/ripa-ai-seed--103647f4,Orion,https://www.crunchbase.com/organization/ripa-ai,Seed,3500000,USD,3500000,2025-11-19,Orion is a cybersecurity company that offers AI-evolving threat intelligence for risk teams.,"Artificial Intelligence (AI), Geospatial, Government, Machine Learning, National Security, Predictive Analytics, Risk Management",https://www.oriongeo.com,Dynamo,"Bravo Victor Venture Capital, Dynamo, Service Provider Capital, Techstars"
Seed Round - Wonder Studios,https://www.crunchbase.com/funding_round/wonder-studios-seed--8762f168,Wonder Studios,https://www.crunchbase.com/organization/wonder-studios,Seed,12000000,USD,12000000,2025-10-23,Wonder Studios is an AI-centric creative production studio that produces films across entertainment and advertising.,"Artificial Intelligence (AI), Film, Media and Entertainment, Music",https://wonderstudios.com,Atomico,"Adobe Ventures, Atomico, Blackbird Ventures, Erik Huggers, Joaquín Cuenca Abela, LocalGlobe, Mercuri, Nigel Morris, Stephen Lambert, Upside VC"
Seed Round - Stable,https://www.crunchbase.com/funding_round/stable-e4ce-seed--96a312e5,Stable,https://www.crunchbase.com/organization/stable-e4ce,Seed,28000000,USD,28000000,2025-07-31,Stable is a blockchain for digital dollar settlement with gas-free peer transfers.,"Blockchain, Cryptocurrency, FinTech",https://stable.xyz,"Bitfinex, Hack VC","Bitfinex, Blue Pool Capital, Bryan Johnson, BTSE, Castle Island Ventures, eGirl Capital, Franklin Templeton, Hack VC, KuCoin Ventures, Mirana, Nascent, Nathan McCauley, Paolo Ardoino, Susquehanna International Group"
Seed Round - Questflow,https://www.crunchbase.com/funding_round/questflow-seed--6795fbf9,Questflow,https://www.crunchbase.com/organization/questflow,Seed,6500000,USD,6500000,2025-07-22,Questflow Labs is pioneering a novel approach to decentralized AI agentic workflows.,"Artificial Intelligence (AI), Software, Web Development",https://www.questflow.ai/,cyber•Fund,"Animoca Brands, CatcherVC, cyber•Fund, Delphi Labs, Eden Block, ElizaOS, HashKey Capital, systemic ventures, Tezos, WAGMI Ventures, Web3.com Ventures, White Star Capital"
Seed Round - Datum,https://www.crunchbase.com/funding_round/datum-94ae-seed--31b33ce3,Datum,https://www.crunchbase.com/organization/datum-94ae,Seed,10000000,USD,10000000,2025-11-12,"A network cloud you can take anywhere, backed by open source.","Artificial Intelligence (AI), Cloud Computing, Information Technology, Internet, Network Security, Software",https://www.datum.net,CRV,"Amplify Partners, Cervin Ventures, CRV, Encoded Ventures, Ex/Ante, Step Function Ventures, Vine Ventures"
Seed Round - Inversion,https://www.crunchbase.com/funding_round/inversion-38df-seed--d38ceeb6,Inversion,https://www.crunchbase.com/organization/inversion-38df,Seed,26500000,USD,26500000,2025-09-08,Inversion is a technology-first investment company that acquires and transforms legacy businesses with blockchain technology.,"Blockchain, Cryptocurrency, Impact Investing",https://www.inversioncap.com/,Dragonfly,"Andrew Steinwold, Balaji Srinivasan, Bodhi Ventures, Breed VC, Bryan Pellegrino, Casey Caruso, Comfy.capital, DCF GOD, Dragonfly, Escape Velocity, Faction, Folius Ventures, HashKey Capital, Jason Yanowitz, Joshua Lim, Lvna Capital, Max Power, Metalayer Ventures, Mike Dudas, Mirana, Moonrock Capital, Namik Muduroglu, ParaFi Capital, Parker Poor, Patrick O'Grady, Portal Ventures, Race Capital, Rebecca Rettig, segfault doctor, Serge Kassardjian, Simon Dedic, The Rollup, topology, VanEck, Volt Capital, Walter Kortschak, Whisky Titan, Wintermute Ventures"
Seed Round - Muse Software,https://www.crunchbase.com/funding_round/muse-software-seed--10980556,Muse Software,https://www.crunchbase.com/organization/muse-software,Seed,4500000,USD,4500000,2025-11-12,Muse Software operates as an operations management platform.,"Artificial Intelligence (AI), Business Intelligence, Software",https://www.musesoftware.ai/,Roo Capital,"Banter Capital, FJ Labs, Roo Capital"
Pre Seed Round - Trase,https://www.crunchbase.com/funding_round/trase-pre-seed--d98723d0,Trase,https://www.crunchbase.com/organization/trase,Pre-Seed,10500000,USD,10500000,2025-11-06,Trase Systems is an AI firm that provides safety and security to organisation to run there administrative workflows and processes.,"Artificial Intelligence (AI), Generative AI, Service Industry",https://www.trase.ai/,,"Red Cell Partners, Virginia Venture Partners"
Series A - Grasp,https://www.crunchbase.com/funding_round/grasp-fdf4-series-a--aa967ebb,Grasp,https://www.crunchbase.com/organization/grasp-fdf4,Series A,7000000,USD,7000000,2025-10-28,Grasp is an artificial intelligence platform created to collect and study businesses worldwide and provide information about the market.,"Artificial Intelligence (AI), Big Data, Internet, Internet of Things, Machine Learning",https://www.grasp-ai.com/,Octopus Ventures,"Octopus Ventures, Yanno Capital"
Seed Round - Yotta Labs,https://www.crunchbase.com/funding_round/yotta-labs-seed--ba9ae145,Yotta Labs,https://www.crunchbase.com/organization/yotta-labs,Seed,3500000,USD,3500000,2025-09-30,Building the GPU Cloud for efficient ML with heterogeneous hardware and cross-cloud orchestration,"AI Infrastructure, Artificial Intelligence (AI), Cloud Computing, GPU",https://www.yottalabs.ai,"Big Brain Holdings, Eden Block","Big Brain Holdings, Eden Block, Generative Ventures, KuCoin Ventures, MH Ventures, Mysten Labs"
Seed Round - Novoflow,https://www.crunchbase.com/funding_round/novoflow-seed--e5b160e2,Novoflow,https://www.crunchbase.com/organization/novoflow,Seed,3100000,USD,3100000,2025-11-03,AI receptionist that automates phone calls for medical clinics.,"Artificial Intelligence (AI), Electronic Health Record (EHR), Medical",https://www.novoflow.io/,Justin Hamilton,"Justin Hamilton, Multifaceted Capital, n1 Ventures, Standard Partners Fund"
Pre Seed Round - Radical Health,https://www.crunchbase.com/funding_round/radical-health-7087-pre-seed--df69cd40,Radical Health,https://www.crunchbase.com/organization/radical-health-7087,Pre-Seed,5000000,USD,5000000,2025-12-04,"Radical platform reviews complex medical data to deliver clear, personalized insights that help guide cancer treatment decisions.","Artificial Intelligence (AI), Information Technology, Medical",https://radicalhealth.io/,Khosla Ventures,Khosla Ventures
Series A - Kobalt Labs,https://www.crunchbase.com/funding_round/kobalt-labs-series-a--73f5a04a,Kobalt Labs,https://www.crunchbase.com/organization/kobalt-labs,Series A,11000000,USD,11000000,2025-12-03,Kobalt Labs provides an AI copilot for risk and compliance teams at financial institutions.,"Artificial Intelligence (AI), Banking, Compliance, Financial Services, FinTech",https://www.kobaltlabs.com,Ali Rowghani,"Ali Rowghani, Alloy Labs, Y Combinator"
Series A - Beside,https://www.crunchbase.com/funding_round/beside-87c2-series-a--3db0eb28,Beside,https://www.crunchbase.com/organization/beside-87c2,Series A,20000000,USD,20000000,2025-10-29,Beside is an app that provides users with a dedicated second phone number for calls and texts.,"Artificial Intelligence (AI), Business Development, Information Technology",https://www.beside.com,EQT Ventures,"Clément Delangue, EQT Ventures, Factorial Capital, Index Ventures, Isai, Jean Charles Samuelian, Mathilde Collin, NextView Ventures, Pierre Valade, Stewart Butterfield, Volo Ventures"
Seed Round - OnboardAI,https://www.crunchbase.com/funding_round/onboardai-seed--7f6fa171,OnboardAI,https://www.crunchbase.com/organization/onboardai,Seed,5000000,USD,5000000,2025-11-20,Onboard AI is a software company specializing in AI governance and compliance tools for healthcare organizations.,"Analytics, Artificial Intelligence (AI), Software",https://www.on-board.ai/,Cedars Sinai,"Cedars Sinai, Meridian Street Capital, NextView Ventures"
Seed Round - The Interaction Company of California,https://www.crunchbase.com/funding_round/poke-acfb-seed--6052aa9e,The Interaction Company of California,https://www.crunchbase.com/organization/poke-acfb,Seed,15000000,USD,15000000,2025-09-08,The Interaction Company's Poke is an AI assistant that lives fully inside iMessage and integrates seamlessly.,"Artificial Intelligence (AI), Web Development",https://interaction.co,General Catalyst,"Anti Fund, Anton Levy, Brendan Foody, CDTM Venture Fund, Christoph Deckert, Cory Levy, Daniel Saul Sundheim, Earlybird Venture Capital, Everyday Intelligence, Fred Ehrsam, General Catalyst, Guillermo Rauch, Jake Paul, John Collison, Ken Howery, Logan Kilpatrick, Patrick Collison, Robert Windesheim, Sabrina Hahn, Scott Wu, Village Global, Vivi Nevo"
Seed Round - La Fraise,https://www.crunchbase.com/funding_round/la-fraise-seed--0deacfe6,La Fraise,https://www.crunchbase.com/organization/la-fraise,Seed,3200000,EUR,3711440,2025-11-17,LaFraise develops artificial intelligence agents specifically for dentists to automate administrative processes.,"Artificial Intelligence (AI), Software",https://lafraise.pro/,,"Bpifrance, Kima Ventures, Seedcamp, The Twenty Minute VC"
Series B - PhysicsX,https://www.crunchbase.com/funding_round/physicsx-series-b--78d6692b,PhysicsX,https://www.crunchbase.com/organization/physicsx,Series B,20000000,USD,20000000,2025-11-19,PhysicsX offers an AI-native simulation software stack for engineering and manufacturing across advanced industries.,"AI Infrastructure, Artificial Intelligence (AI), Information Technology, Machine Learning, Semiconductor, Simulation, Software",https://www.physicsx.ai,NVentures,NVentures
Seed Round - Dedalus Labs,https://www.crunchbase.com/funding_round/dedalus-labs-seed--4ccd5085,Dedalus Labs,https://www.crunchbase.com/organization/dedalus-labs,Seed,11000000,USD,11000000,2025-10-15,Dedalus Labs is a Software Development firm offering AI based MCP gateway service to their clients.,"Artificial Intelligence (AI), Developer Tools, DevOps, SaaS, Software",https://www.dedaluslabs.ai,"Kindred Ventures, Saga Ventures","Ant Wilson, Cal Henderson, E14 Fund, Elad Hazan, Emergence Capital, FPV Ventures, Kindred Ventures, Liquid 2 Ventures, Operator Partners, Saga Ventures, Spot VC, Sunshine Lake Capital, Telescope, Thomas Dohmke, Thomas Wolf, Transpose Platform Management, Tri Dao, TwentyTwo VC, Y Combinator"
Seed Round - LISA,https://www.crunchbase.com/funding_round/lisa-6190-seed--679ca169,LISA,https://www.crunchbase.com/organization/lisa-6190,Seed,12000000,USD,12000000,2025-11-13,LISA is an LLM-based smart security analysis platform that focuses on Solidity smart contracts.,"Artificial Intelligence (AI), Blockchain, Cryptocurrency, Cyber Security, SaaS",https://agentlisa.dev/,,"ByteTrade Lab, Fellows Fund, Kryptos, LongHash Ventures, M23 Fund, NGC Ventures, Redpoint, Signum Capital, Summer Ventures, UOB Venture, Woori Venture Partners"
Pre Seed Round - Nexxa.ai,https://www.crunchbase.com/funding_round/nexxa-ai-pre-seed--e0f70ba2,Nexxa.ai,https://www.crunchbase.com/organization/nexxa-ai,Pre-Seed,4400000,USD,4400000,2025-07-21,Specialized Artificial Intelligence for Heavy Industries,"Artificial Intelligence (AI), Commercial Real Estate, Generative AI, Industrial, Manufacturing, Mining, Oil and Gas, Railroad, Software",https://nexxa.ai,A16Z GAMES Speedrun,"A16Z GAMES Speedrun, Augment Ventures, Beat Ventures, Cross Atlantic Angels, Patrick McCarthy, Plug and Play, Propeller, Rick Berry, SBI Ven Capital, Untapped Ventures"
Series A - Sim,https://www.crunchbase.com/funding_round/sim-4961-series-a--f12a43d8,Sim,https://www.crunchbase.com/organization/sim-4961,Series A,7000000,USD,7000000,2025-11-14,Sim is a software development company that provides an artificial intelligence platform to automate workflow and sync data.,"Artificial Intelligence (AI), Data Integration, Information Technology, Software",https://www.sim.ai,Standard Capital,"Ali Rowghani, Chris Howard, Kaz Nejatian, Kulveer Taggar, Liquid 2 Ventures, Perplexity, Standard Capital, SV Angel, TwentyTwo VC, Y Combinator"
Seed Round - Mach,https://www.crunchbase.com/funding_round/mach-9759-seed--e284b480,Mach,https://www.crunchbase.com/organization/mach-9759,Seed,7000000,USD,7000000,2025-12-09,Off-highway machinery automation and autonomy,"AgTech, Artificial Intelligence (AI), Autonomous Vehicles, Construction, Government, Hardware, Machine Learning, Mining Technology, Robotics, Software",https://www.mach.io/,The Venture Collective,"Midwest Growth Partners, Next Level Ventures, The Venture Collective"
Seed Round - Scalekit,https://www.crunchbase.com/funding_round/scalekit-b744-seed--ddc058dd,Scalekit,https://www.crunchbase.com/organization/scalekit-b744,Seed,5500000,USD,5500000,2025-09-16,Scalekit is the Auth Stack for AI Apps - Authentication and actions layer for the agentic era.,"Artificial Intelligence (AI), B2B, Cloud Security, Enterprise Software, SaaS",https://www.scalekit.com/,"Together Fund, Z47","Adam Frankl, Jagadeesh Kunda, Oliver Jay, Together Fund, Z47"
Series A - CloudX,https://www.crunchbase.com/funding_round/cloudx-c466-series-a--05cc942f,CloudX,https://www.crunchbase.com/organization/cloudx-c466,Series A,30000000,USD,30000000,2025-11-13,CloudX operates as a supply side platform for mobile and AI publishers.,"Advertising Platforms, Artificial Intelligence (AI), Information Technology",https://www.cloudx.io/,Addition,"Addition, Breakpoint Capital, DST Global, Eniac Ventures, Javelin Venture Partners, Terrain"
Series A - Alpha Design AI,https://www.crunchbase.com/funding_round/alpha-design-ai-series-a--bd14834b,Alpha Design AI,https://www.crunchbase.com/organization/alpha-design-ai,Series A,21000000,USD,21000000,2025-10-21,"Alpha Design AI revolutionizes chip design and verification with Agentic AI, boosting RTL productivity 10x for smarter, faster innovation.","Artificial Intelligence (AI), SaaS, Semiconductor, Software",https://alphadesign.ai/,Bessemer Venture Partners,"Amino Capital, Bessemer Venture Partners, Erez Tsur, Ericsson, Jack Harding, MediaTek, Micron Ventures, Raul Camposano, ScOp Venture Capital, Walden C Rhines"
Series A - Mem0,https://www.crunchbase.com/funding_round/mem0-series-a--ea40a264,Mem0,https://www.crunchbase.com/organization/mem0,Series A,20000000,USD,20000000,2025-10-28,Mem0 is a SaaS company that specializes memory layers for LLM applications.,"Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS",https://mem0.ai,Basis Set Ventures,"Basis Set Ventures, Brian Balfour, Charles Zedlewski, Dharmesh Shah, GitHub, James Hawkins, Jennifer Taylor, Kindred Ventures, Lukas Biewald, Olivier Pomel, Paul Copplestone, Peak XV Partners, Philip Rathle, Scott Belsky, Thomas Dohmke, Y Combinator"
Series A - Pidge,https://www.crunchbase.com/funding_round/pidge-series-a--5d25b640,Pidge,https://www.crunchbase.com/organization/pidge,Series A,1200000000,INR,13534036,2025-10-13,Logistics Intelligence and Unified Platform,"Artificial Intelligence (AI), E-Commerce, Last Mile Transportation, Logistics, SaaS, Supply Chain Management",https://www.pidge.in,La Vida es Chula,La Vida es Chula
Seed Round - Julius AI,https://www.crunchbase.com/funding_round/julius-ai-seed--1d472f41,Julius AI,https://www.crunchbase.com/organization/julius-ai,Seed,10000000,USD,10000000,2025-07-28,Julius AI is an artificial intelligence platform that develops and analyzes data with computational AI.,"Analytics, Artificial Intelligence (AI), Data Visualization, Information Technology",https://julius.codes,Bessemer Venture Partners,"8VC, AI Grant, Akshay Kothari, Amjad Masad, Arash Ferdowsi, Aravind Srinivas, Balaji Srinivasan, Bessemer Venture Partners, David Petersen, Eoghan McCabe, Gokul Rajaram, Guillermo Rauch, Horizon, Jeff Lawson, Luke Harries, Mike Knoop, Nat Friedman, Paul Klein IV, Shawn swyx W, Y Combinator"
Seed Round - Theo Ai,https://www.crunchbase.com/funding_round/theo-ai-seed--5e635572,Theo Ai,https://www.crunchbase.com/organization/theo-ai,Seed,3400000,USD,3400000,2025-11-12,Theo Ai provides an AI-driven prediction platform designed to forecast the outcomes of legal disputes.,"Artificial Intelligence (AI), Legal, Legal Tech, Predictive Analytics",https://theoai.ai,Run Ventures,Run Ventures
